# ordinal startClock endClock startValue landingIndex landingValue depth lateTotal lateDeep lastLateClock lastLateValue traceFrom traceLen k0 k1 k2 k3+ nextArcValue deep?
1 1 1 1 1 1 0 0 0 0 0 1 1 0 1 0 0 3 -
2 2 3 3 2 3 -0.176091 0 0 0 0 3 1 0 0 1 0 2 -
3 4 6 2 4 2 0.30103 1 0 4 2 0 0 0 0 0 0 20 -
4 7 11 20 10 11 -0.0413927 0 0 0 0 11 1 0 0 1 0 10 -
5 12 21 10 16 8 0.30103 3 0 16 8 21 1 0 0 0 1 41 -
6 22 39 41 31 14 0.345234 5 0 31 14 39 1 0 0 1 0 38 -
7 40 76 38 64 26 0.391207 13 0 64 26 76 1 0 0 1 0 75 -
8 77 134 75 131 4 1.51521 15 0 131 4 0 0 0 0 0 0 268 -
9 135 248 268 222 47 0.674255 32 0 222 47 248 1 0 0 1 0 247 -
10 249 453 247 403 92 0.641517 54 0 403 92 0 0 0 0 0 0 1361 -
11 454 844 1361 770 111 0.841168 109 0 770 111 844 1 0 0 1 0 2533 -
12 845 1520 2533 1409 181 0.891232 182 0 1409 181 1520 1 0 1 0 0 3041 -
13 1521 2752 3041 2652 150 1.24748 322 0 2652 150 2751 2 0 1 1 0 2751 -
14 2753 5045 2751 4825 371 1.11412 665 0 4825 371 5044 2 0 0 0 2 15135 -
15 5046 9317 15135 9078 361 1.40048 1203 0 9078 361 9311 7 0 4 3 0 18635 -
16 9318 17223 18635 16773 781 1.33196 2318 0 16773 781 17218 6 0 0 0 6 51668 -
17 17224 31221 51668 30768 828 1.57007 3905 0 30768 828 31201 21 0 11 10 0 62443 -
18 31222 57071 62443 56827 366 2.19107 7470 0 56827 366 57033 39 0 19 20 0 57070 -
19 57072 99741 57070 99734 19 3.72009 11308 1 99734 19 99694 48 1 11 21 15 398963 -
20 99742 181693 398963 181653 61 3.47391 22832 3 181653 61 181573 121 3 57 58 3 181693 -
21 181694 328255 181693 328002 879 2.57189 41894 0 328002 879 328162 94 0 0 0 94 1313022 -
22 328256 589932 1313022 588583 4802 2.08839 75128 0 588583 4802 589764 169 0 0 0 169 2359729 -
23 589933 1034838 2359729 1032996 3378 2.48544 119469 0 1032996 3378 1034149 690 0 345 345 0 1034838 -
24 1034839 1788537 1034838 1787013 5329 2.52548 203276 0 1787013 5329 1788027 511 0 0 0 511 5365613 -
25 1788538 3225918 5365613 3220128 9462 2.53189 403064 0 3220128 9462 3223770 2149 0 1074 1075 0 3225918 -
26 3225919 5784585 3225918 5771203 32102 2.25473 718529 0 5771203 32102 5783078 1508 0 0 330 1178 17353757 -
27 5784586 10212210 17353757 10201340 18954 2.73096 1270213 0 10201340 18954 10205407 6804 0 3402 3402 0 10212210 -
28 10212211 18399784 10212210 18394609 18107 3.00684 2318984 1 18394609 18107 18394418 5367 1 97 96 5173 73599139 -
29 18399785 32148794 73599139 32144188 16114 3.2999 3842572 2 32144188 16114 32133507 15288 2 5342 5340 4604 96446382 -
30 32148795 58056875 96446382 58055311 4202 4.14039 7316473 21 58055311 4202 58027034 29842 21 11691 11681 6449 58056874 DEEP
31 58056876 101769229 58056874 101762018 25231 3.60565 11965236 5 101762018 25231 101720206 49024 5 18173 18173 12673 407076917 -
32 101769230 173395919 407076917 173367175 60240 3.45908 19105500 443 173367175 60240 173309962 85958 443 31638 31268 22609 520187758 -
33 173395920 302890748 520187758 302844912 92404 3.51553 35599428 442 302844912 92404 302734424 156325 442 60914 60490 34479 908672243 -
34 302890749 511561220 908672243 511518279 92188 3.74419 55979450 1121 511518279 92188 511300236 260985 1121 100184 99282 60398 2046244881 -
35 511561221 904036924 2046244881 904032692 14804 4.78581 111017793 581 904032692 14804 903591555 445370 581 160859 166209 117721 2712110771 DEEP
36 904036925 1610187038 2712110771 1610186343 2426 5.82199 202844334 1343 1610186343 2426 1609420154 766885 1343 237179 298492 229871 6440748154 DEEP
37 1610187039 2789150423 6440748154 2789149734 2405 6.06436 327754080 952 2789149734 2405 2787779386 1371038 952 509793 508923 351370 11156601694 DEEP
38 2789150424 4910758397 11156601694 4910724199 89386 4.73988 602335220 3031 4910724199 89386 4908684482 2073916 3031 622929 644396 803560 14732275193 DEEP
39 4910758398 8416580354 14732275193 8416516444 110522 4.88168 958574394 4477 8416516444 110522 8412483843 4096512 4477 1479963 1522841 1089231 8416580354 DEEP
