output	reproduction_command	constraint
bounded_excess_multiplicity.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/bounded_excess_multiplicity.py > /tmp/recaman_replay_bounded_excess_multiplicity.txt	Uses frozen source defaults; preserve the saved log
bounded_excess_reservoir.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/bounded_excess_reservoir.py > /tmp/recaman_replay_bounded_excess_reservoir.txt	Uses frozen source defaults; preserve the saved log
clean_period_bound.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/clean_period_bound.py > /tmp/recaman_replay_clean_period_bound.txt	Uses frozen source defaults; preserve the saved log
eventual_periodic_bridge.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/eventual_periodic_bridge.py > /tmp/recaman_replay_eventual_periodic_bridge.txt	Uses frozen source defaults; preserve the saved log
family_b_seeded_control.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/family_b_seeded_control.py > /tmp/recaman_replay_family_b_seeded_control.txt	Uses frozen source defaults; preserve the saved log
finite_p2_semantics.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/finite_p2_semantics.py > /tmp/recaman_replay_finite_p2_semantics.txt	Uses frozen source defaults; preserve the saved log
finite_seed_periodic_bridge.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/finite_seed_periodic_bridge.py > /tmp/recaman_replay_finite_seed_periodic_bridge.txt	Uses frozen source defaults; preserve the saved log
local_parity_capacity.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/local_parity_capacity.py > /tmp/recaman_replay_local_parity_capacity.txt	Uses frozen source defaults; preserve the saved log
nested_reservoir_capacity.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/nested_reservoir_capacity.py > /tmp/recaman_replay_nested_reservoir_capacity.txt	Uses frozen source defaults; preserve the saved log
nonpositive_period_drift.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/nonpositive_period_drift.py > /tmp/recaman_replay_nonpositive_period_drift.txt	Uses frozen source defaults; preserve the saved log
one_ss_canonical_counterexample.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/one_ss_canonical_counterexample.py > /tmp/recaman_replay_one_ss_canonical_counterexample.txt	Uses frozen source defaults; preserve the saved log
one_ss_charge.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/one_ss_charge.py > /tmp/recaman_replay_one_ss_charge.txt	Uses frozen source defaults; preserve the saved log
one_ss_classification.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/one_ss_classification.py > /tmp/recaman_replay_one_ss_classification.txt	Uses frozen source defaults; preserve the saved log
one_ss_multiplicity.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/one_ss_multiplicity.py > /tmp/recaman_replay_one_ss_multiplicity.txt	Uses frozen source defaults; preserve the saved log
parity_supply_capacity.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/parity_supply_capacity.py > /tmp/recaman_replay_parity_supply_capacity.txt	Uses frozen source defaults; preserve the saved log
periodic_representation.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/periodic_representation.py > /tmp/recaman_replay_periodic_representation.txt	Uses frozen source defaults; preserve the saved log
phase_energy.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/phase_energy.py > /tmp/recaman_replay_phase_energy.txt	Uses frozen source defaults; preserve the saved log
positive_period_lag.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/positive_period_lag.py > /tmp/recaman_replay_positive_period_lag.txt	Uses frozen source defaults; preserve the saved log
reservoir_capacity.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/reservoir_capacity.py > /tmp/recaman_replay_reservoir_capacity.txt	Uses frozen source defaults; preserve the saved log
short_blocker_rigidity.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/short_blocker_rigidity.py > /tmp/recaman_replay_short_blocker_rigidity.txt	Uses frozen source defaults; preserve the saved log
short_reservoir_specialization.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/short_reservoir_specialization.py > /tmp/recaman_replay_short_reservoir_specialization.txt	Uses frozen source defaults; preserve the saved log
signed_supply_gap.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/signed_supply_gap.py > /tmp/recaman_replay_signed_supply_gap.txt	Uses frozen source defaults; preserve the saved log
single_defect_matching.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/single_defect_matching.py > /tmp/recaman_replay_single_defect_matching.txt	Uses frozen source defaults; preserve the saved log
ss_free_supply.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/ss_free_supply.py > /tmp/recaman_replay_ss_free_supply.txt	Uses frozen source defaults; preserve the saved log
ss_gap_budget.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/ss_gap_budget.py > /tmp/recaman_replay_ss_gap_budget.txt	Uses frozen source defaults; preserve the saved log
verify_canonical_family_b.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/verify_canonical_family_b.py > /tmp/recaman_replay_verify_canonical_family_b.txt	Uses frozen source defaults; preserve the saved log
provenance_audit.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/verify_evidence_bundle.py > /tmp/recaman_replay_provenance_audit.txt	Uses frozen source defaults; preserve the saved log
verify_prefix_lookup.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/verify_prefix_lookup.py > /tmp/recaman_replay_verify_prefix_lookup.txt	Uses frozen source defaults; preserve the saved log
canonical_family_b_search.txt	clang++ -O3 -std=c++20 experiments/issue73_20260910/canonical_family_b_search.cpp -o /tmp/recaman_replay_canonical_family_b_search && /tmp/recaman_replay_canonical_family_b_search > /tmp/recaman_replay_canonical_family_b_search.txt	10M census; B search stops on first witness or declared cap
orbit_coverage_census.txt	clang++ -O3 -std=c++20 -Wall -Wextra -pedantic experiments/issue73_20260910/orbit_coverage_census.cpp -o /tmp/recaman_replay_orbit_coverage_census && /tmp/recaman_replay_orbit_coverage_census > /tmp/recaman_replay_orbit_coverage_census.txt	10M census; B search stops on first witness or declared cap
orbit_defect_census.txt	clang++ -O3 -std=c++20 -Wall -Wextra -pedantic experiments/issue73_20260910/orbit_defect_census.cpp -o /tmp/recaman_replay_orbit_defect_census && /tmp/recaman_replay_orbit_defect_census > /tmp/recaman_replay_orbit_defect_census.txt	10M census; B search stops on first witness or declared cap
orbit_local_parity_census.txt	clang++ -O3 -std=c++20 -Wall -Wextra -pedantic experiments/issue73_20260910/orbit_local_parity_census.cpp -o /tmp/recaman_replay_orbit_local_parity_census && /tmp/recaman_replay_orbit_local_parity_census > /tmp/recaman_replay_orbit_local_parity_census.txt	10M census; B search stops on first witness or declared cap
orbit_one_ss_census.txt	clang++ -O3 -std=c++20 experiments/issue73_20260910/orbit_one_ss_census.cpp -o /tmp/recaman_replay_orbit_one_ss_census && /tmp/recaman_replay_orbit_one_ss_census > /tmp/recaman_replay_orbit_one_ss_census.txt	10M census; B search stops on first witness or declared cap
orbit_ss_census.txt	clang++ -O3 -std=c++20 -Wall -Wextra -pedantic experiments/issue73_20260910/orbit_ss_census.cpp -o /tmp/recaman_replay_orbit_ss_census && /tmp/recaman_replay_orbit_ss_census > /tmp/recaman_replay_orbit_ss_census.txt	10M census; B search stops on first witness or declared cap
check26_ss_gap_budget.txt	./scripts/check.sh > /tmp/recaman_replay_check.txt 2>&1	Full module, registry, build, and axiom checks
one_ss_run_capacity.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/one_ss_run_capacity.py > /tmp/recaman_replay_one_ss_run_capacity.txt	Frozen all-mass period1..17 scan; no rule repair
one_ss_union_control.txt	PYTHONDONTWRITEBYTECODE=1 python3 experiments/issue73_20260910/one_ss_union_control.py > /tmp/recaman_replay_one_ss_union_control.txt	Fixed period13 counterexample to naive map union, not to capacity
