protocol=2026-09-10 provenance audit
source_sha256=c55a1e2fa06ccb03e450c89715e0da28b3e32dce507ca55419b817f458fc4dac
BASELINE={"entries": 29, "preserved_snapshots": 5, "verified": true}
SOURCE={"log": "bounded_excess_multiplicity.txt", "key": "script_sha256", "source": "experiments/issue73_20260910/bounded_excess_multiplicity.py"}
SOURCE={"log": "bounded_excess_reservoir.txt", "key": "script_sha256", "source": "experiments/issue73_20260910/bounded_excess_reservoir.py"}
SOURCE={"log": "bounded_excess_reservoir.txt", "key": "generator_sha256", "source": "experiments/issue73_20260910/bounded_excess_multiplicity.py"}
SOURCE={"log": "canonical_family_b_search.txt", "key": "source_sha256", "source": "experiments/issue73_20260910/canonical_family_b_search.cpp"}
SOURCE={"log": "clean_period_bound.txt", "key": "source_sha256", "source": "experiments/issue73_20260910/clean_period_bound.py"}
SOURCE={"log": "eventual_periodic_bridge.txt", "key": "source_sha256", "source": "experiments/issue73_20260910/eventual_periodic_bridge.py"}
SOURCE={"log": "eventual_periodic_bridge_control_clock_error.txt", "key": "source_sha256", "source": "docs/data/issue73_20260910/baseline/eventual_periodic_bridge_control_clock_error.py.txt"}
SOURCE={"log": "family_b_seeded_control.txt", "key": "source_sha256", "source": "experiments/issue73_20260910/family_b_seeded_control.py"}
SOURCE={"log": "finite_p2_semantics.txt", "key": "source_sha256", "source": "experiments/issue73_20260910/finite_p2_semantics.py"}
SOURCE={"log": "finite_seed_periodic_bridge.txt", "key": "source_sha256", "source": "experiments/issue73_20260910/finite_seed_periodic_bridge.py"}
SOURCE={"log": "local_parity_capacity.txt", "key": "local_parity_capacity.py_sha256", "source": "experiments/issue73_20260910/local_parity_capacity.py"}
SOURCE={"log": "local_parity_capacity.txt", "key": "short_reservoir_specialization.py_sha256", "source": "experiments/issue73_20260910/short_reservoir_specialization.py"}
SOURCE={"log": "nested_reservoir_capacity.txt", "key": "nested_reservoir_capacity.py_sha256", "source": "experiments/issue73_20260910/nested_reservoir_capacity.py"}
SOURCE={"log": "nested_reservoir_capacity.txt", "key": "reservoir_capacity.py_sha256", "source": "experiments/issue73_20260910/reservoir_capacity.py"}
SOURCE={"log": "nested_reservoir_capacity.txt", "key": "bounded_excess_multiplicity.py_sha256", "source": "experiments/issue73_20260910/bounded_excess_multiplicity.py"}
SOURCE={"log": "nonpositive_period_drift.txt", "key": "source_sha256", "source": "experiments/issue73_20260910/nonpositive_period_drift.py"}
SOURCE={"log": "one_ss_canonical_counterexample.txt", "key": "one_ss_canonical_counterexample.py_sha256", "source": "experiments/issue73_20260910/one_ss_canonical_counterexample.py"}
SOURCE={"log": "one_ss_canonical_counterexample.txt", "key": "short_reservoir_specialization.py_sha256", "source": "experiments/issue73_20260910/short_reservoir_specialization.py"}
SOURCE={"log": "one_ss_charge.txt", "key": "one_ss_charge.py_sha256", "source": "experiments/issue73_20260910/one_ss_charge.py"}
SOURCE={"log": "one_ss_charge.txt", "key": "short_reservoir_specialization.py_sha256", "source": "experiments/issue73_20260910/short_reservoir_specialization.py"}
SOURCE={"log": "one_ss_classification.txt", "key": "source_sha256", "source": "experiments/issue73_20260910/one_ss_classification.py"}
SOURCE={"log": "one_ss_multiplicity.txt", "key": "source_sha256", "source": "experiments/issue73_20260910/one_ss_multiplicity.py"}
