protocol=H-20260910-11
source_revision=8dfbfb8f15eb2ff3d84629385cde99cd9f2bc9aa
source_sha256=d0bf0974df7b4d7c1f8f47369e80f939bf5f801e92fc2ffc36a2beebe199779b
INDEPENDENT=all binary words through length15 agree with the gap generator
NEGATIVE_CONTROL={"newest_first": "ASAASAS", "lag": 7, "P2": true, "no_SS": true, "clean": false}
DISCOVERY={"S_count": 1, "length": 3, "words": 3, "P2_no_SAAS": 1, "P2_with_SAAS": 0, "violations": 0}
DISCOVERY={"S_count": 2, "length": 5, "words": 6, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
DISCOVERY={"S_count": 3, "length": 7, "words": 10, "P2_no_SAAS": 0, "P2_with_SAAS": 1, "violations": 0}
DISCOVERY={"S_count": 4, "length": 9, "words": 15, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
DISCOVERY={"S_count": 5, "length": 11, "words": 21, "P2_no_SAAS": 1, "P2_with_SAAS": 1, "violations": 0}
DISCOVERY={"S_count": 6, "length": 13, "words": 28, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
DISCOVERY={"S_count": 7, "length": 15, "words": 36, "P2_no_SAAS": 0, "P2_with_SAAS": 2, "violations": 0}
DISCOVERY={"S_count": 8, "length": 17, "words": 45, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
DISCOVERY={"S_count": 9, "length": 19, "words": 55, "P2_no_SAAS": 1, "P2_with_SAAS": 2, "violations": 0}
DISCOVERY={"S_count": 10, "length": 21, "words": 66, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
DISCOVERY={"S_count": 11, "length": 23, "words": 78, "P2_no_SAAS": 0, "P2_with_SAAS": 3, "violations": 0}
DISCOVERY={"S_count": 12, "length": 25, "words": 91, "P2_no_SAAS": 0, "P2_with_SAAS": 0, "violations": 0}
DISCOVERY={"S_count": 13, "length": 27, "words": 105, "P2_no_SAAS": 1, "P2_with_SAAS": 3, "violations": 0}
