protocol=H-20260910-32 NoSS mass-1 moment lower bound
source_revision=dfbd8444ccc3d0398159917dad3feb5992d1d0b8
source_sha256=4147cfc2cfa567bbe26fa242af881ca9433ce6f04b36fa4a3c250be938485a9c
LEN={"n": 1, "noss_mass1": 1, "min_moment": 1, "word": "A", "case5_need_for_f_eq_nplus1": 0}
LEN={"n": 2, "noss_mass1": 0, "min_moment": null, "word": null, "case5_need_for_f_eq_nplus1": -1}
LEN={"n": 3, "noss_mass1": 3, "min_moment": 0, "word": "AAS", "case5_need_for_f_eq_nplus1": -2}
LEN={"n": 4, "noss_mass1": 0, "min_moment": null, "word": null, "case5_need_for_f_eq_nplus1": -3}
LEN={"n": 5, "noss_mass1": 6, "min_moment": -1, "word": "AASAS", "case5_need_for_f_eq_nplus1": -4}
LEN={"n": 6, "noss_mass1": 0, "min_moment": null, "word": null, "case5_need_for_f_eq_nplus1": -5}
LEN={"n": 7, "noss_mass1": 10, "min_moment": -2, "word": "AASASAS", "case5_need_for_f_eq_nplus1": -6}
LEN={"n": 8, "noss_mass1": 0, "min_moment": null, "word": null, "case5_need_for_f_eq_nplus1": -7}
LEN={"n": 9, "noss_mass1": 15, "min_moment": -3, "word": "AASASASAS", "case5_need_for_f_eq_nplus1": -8}
LEN={"n": 10, "noss_mass1": 0, "min_moment": null, "word": null, "case5_need_for_f_eq_nplus1": -9}
LEN={"n": 11, "noss_mass1": 21, "min_moment": -4, "word": "AASASASASAS", "case5_need_for_f_eq_nplus1": -10}
LEN={"n": 12, "noss_mass1": 0, "min_moment": null, "word": null, "case5_need_for_f_eq_nplus1": -11}
LEN={"n": 13, "noss_mass1": 28, "min_moment": -5, "word": "AASASASASASAS", "case5_need_for_f_eq_nplus1": -12}
LEN={"n": 14, "noss_mass1": 0, "min_moment": null, "word": null, "case5_need_for_f_eq_nplus1": -13}
LEN={"n": 15, "noss_mass1": 36, "min_moment": -6, "word": "AASASASASASASAS", "case5_need_for_f_eq_nplus1": -14}
LEN={"n": 16, "noss_mass1": 0, "min_moment": null, "word": null, "case5_need_for_f_eq_nplus1": -15}
LEN={"n": 17, "noss_mass1": 45, "min_moment": -7, "word": "AASASASASASASASAS", "case5_need_for_f_eq_nplus1": -16}
LEN={"n": 18, "noss_mass1": 0, "min_moment": null, "word": null, "case5_need_for_f_eq_nplus1": -17}
LEN={"n": 19, "noss_mass1": 55, "min_moment": -8, "word": "AASASASASASASASASAS", "case5_need_for_f_eq_nplus1": -18}
LEN={"n": 20, "noss_mass1": 0, "min_moment": null, "word": null, "case5_need_for_f_eq_nplus1": -19}
