protocol=H-20260910-36 min-P2 ssCount histogram canonical 10^7
P2=1315896 HIGH_SS=99934
SS={"ss":0,"count":921809,"lead0":919472,"lead1":0,"lead2":2337,"lead_ge3":0,"run_viol_same_ss":41}
SS={"ss":1,"count":70375,"lead0":70375,"lead1":0,"lead2":0,"lead_ge3":0,"run_viol_same_ss":0}
SS={"ss":2,"count":52357,"lead0":52198,"lead1":11,"lead2":0,"lead_ge3":148,"run_viol_same_ss":0}
SS={"ss":3,"count":21727,"lead0":21613,"lead1":23,"lead2":0,"lead_ge3":91,"run_viol_same_ss":6}
SS={"ss":4,"count":16455,"lead0":16363,"lead1":10,"lead2":0,"lead_ge3":82,"run_viol_same_ss":0}
SS={"ss":5,"count":13088,"lead0":13045,"lead1":5,"lead2":0,"lead_ge3":38,"run_viol_same_ss":0}
SS={"ss":6,"count":10540,"lead0":10523,"lead1":5,"lead2":0,"lead_ge3":12,"run_viol_same_ss":0}
SS={"ss":7,"count":6855,"lead0":6801,"lead1":10,"lead2":0,"lead_ge3":44,"run_viol_same_ss":0}
SS={"ss":8,"count":9656,"lead0":9627,"lead1":4,"lead2":0,"lead_ge3":25,"run_viol_same_ss":0}
SS={"ss":9,"count":3333,"lead0":3315,"lead1":6,"lead2":0,"lead_ge3":12,"run_viol_same_ss":0}
SS={"ss":10,"count":3844,"lead0":3815,"lead1":4,"lead2":0,"lead_ge3":25,"run_viol_same_ss":0}
SS={"ss":11,"count":3876,"lead0":3849,"lead1":4,"lead2":0,"lead_ge3":23,"run_viol_same_ss":0}
SS={"ss":12,"count":3220,"lead0":3206,"lead1":1,"lead2":0,"lead_ge3":13,"run_viol_same_ss":0}
SS={"ss":13,"count":3993,"lead0":3972,"lead1":4,"lead2":0,"lead_ge3":17,"run_viol_same_ss":0}
SS={"ss":14,"count":3418,"lead0":3402,"lead1":4,"lead2":0,"lead_ge3":12,"run_viol_same_ss":0}
SS={"ss":15,"count":7372,"lead0":7357,"lead1":0,"lead2":0,"lead_ge3":15,"run_viol_same_ss":0}
SS={"ss":16,"count":2282,"lead0":2275,"lead1":1,"lead2":0,"lead_ge3":6,"run_viol_same_ss":0}
SS={"ss":17,"count":3811,"lead0":3794,"lead1":3,"lead2":0,"lead_ge3":14,"run_viol_same_ss":0}
SS={"ss":18,"count":4455,"lead0":4443,"lead1":2,"lead2":0,"lead_ge3":10,"run_viol_same_ss":0}
SS={"ss":19,"count":1155,"lead0":1150,"lead1":3,"lead2":0,"lead_ge3":2,"run_viol_same_ss":0}
SS={"ss":20,"count":3084,"lead0":3075,"lead1":2,"lead2":0,"lead_ge3":7,"run_viol_same_ss":0}
