# ordinal startClock endClock startValue landingIndex landingValue lateTotal combEnds blockedEnds
1 1 1 1 1 1 0 0 0
2 2 3 3 2 3 0 0 0
3 4 6 2 4 2 1 1 0
4 7 11 20 10 11 0 0 0
5 12 21 10 16 8 3 1 0
6 22 39 41 31 14 5 1 0
7 40 76 38 64 26 13 1 0
8 77 134 75 131 4 15 3 1
9 135 248 268 222 47 32 2 0
10 249 453 247 403 92 54 3 0
11 454 844 1361 770 111 109 4 0
12 845 1520 2533 1409 181 182 4 1
13 1521 2752 3041 2652 150 322 8 1
14 2753 5045 2751 4825 371 665 8 2
15 5046 9317 15135 9078 361 1203 12 1
16 9318 17223 18635 16773 781 2318 22 2
17 17224 31221 51668 30768 828 3905 32 9
18 31222 57071 62443 56827 366 7470 39 12
19 57072 99741 57070 99734 19 11308 51 16
20 99742 181693 398963 181653 61 22832 71 17
21 181694 328255 181693 328002 879 41894 93 25
22 328256 589932 1313022 588583 4802 75128 130 29
23 589933 1034838 2359729 1032996 3378 119469 158 68
24 1034839 1788537 1034838 1787013 5329 203276 185 84
25 1788538 3225918 5365613 3220128 9462 403064 269 88
26 3225919 5784585 3225918 5771203 32102 718529 444 97
27 5784586 10212210 17353757 10201340 18954 1270213 410 230
28 10212211 18399784 10212210 18394609 18107 2318984 653 196
29 18399785 32148794 73599139 32144188 16114 3842572 696 328
30 32148795 58056875 96446382 58055311 4202 7316473 1420 275
31 58056876 101769229 58056874 101762018 25231 11965236 1411 499
32 101769230 173395919 407076917 173367175 60240 19105500 1412 705
33 173395920 302890748 520187758 302844912 92404 35599428 2321 901
34 302890749 511561220 908672243 511518279 92188 55979450 2229 1458
35 511561221 904036924 2046244881 904032692 14804 111017793 3413 1551
36 904036925 1610187038 2712110771 1610186343 2426 202844334 5233 1915
37 1610187039 2789150423 6440748154 2789149734 2405 327754080 5636 2650
38 2789150424 4910758397 11156601694 4910724199 89386 602335220 7742 3473
39 4910758398 8416580354 14732275193 8416516444 110522 958574394 8790 4752
