value	birth	sign	section_start	section_value	section_pairs	j	side
27689859868	11685741475	S	0	0	0	0	P
27689859871	11685044249	A	11685044248	27689859870	276986	0	U
27689981566	11656976131	S	11656832577	39346885920	82924	71777	L
27690136859	11657331305	A	11656998426	27689970419	284765	166439	U
39375641912	7575011311	A	7575011308	39375641910	18082	1	U
39375641915	7575011317	A	7575011308	39375641910	18082	4	U
39375641918	7575011323	A	7575011308	39375641910	18082	7	U
39375641921	7575011329	A	7575011308	39375641910	18082	10	U
39375641924	7575011335	A	7575011308	39375641910	18082	13	U
39375641927	7575011341	A	7575011308	39375641910	18082	16	U
39375641930	7575011347	A	7575011308	39375641910	18082	19	U
39375641933	7575011353	A	7575011308	39375641910	18082	22	U
39375641936	7575011359	A	7575011308	39375641910	18082	25	U
39375641939	7575011365	A	7575011308	39375641910	18082	28	U
39375641942	7575011371	A	7575011308	39375641910	18082	31	U
39375641945	7575011377	A	7575011308	39375641910	18082	34	U
39375641948	7575011383	A	7575011308	39375641910	18082	37	U
39375641951	7575011389	A	7575011308	39375641910	18082	40	U
39375641954	7575011395	A	7575011308	39375641910	18082	43	U
39375641957	7575011401	A	7575011308	39375641910	18082	46	U
39375641960	7575011407	A	7575011308	39375641910	18082	49	U
39375641963	7575011413	A	7575011308	39375641910	18082	52	U
39375641966	7575011419	A	7575011308	39375641910	18082	55	U
39375641969	7575011425	A	7575011308	39375641910	18082	58	U
39375641972	7575011431	A	7575011308	39375641910	18082	61	U
39375641975	7575011437	A	7575011308	39375641910	18082	64	U
39375641978	7575011443	A	7575011308	39375641910	18082	67	U
39375641981	7575011449	A	7575011308	39375641910	18082	70	U
39375641984	7575011455	A	7575011308	39375641910	18082	73	U
39375641987	7575011461	A	7575011308	39375641910	18082	76	U
39375641990	7575011467	A	7575011308	39375641910	18082	79	U
39375641993	7575011473	A	7575011308	39375641910	18082	82	U
39375641996	7575011479	A	7575011308	39375641910	18082	85	U
39375641999	7575011485	A	7575011308	39375641910	18082	88	U
39375642002	7575011491	A	7575011308	39375641910	18082	91	U
39375642005	7575011497	A	7575011308	39375641910	18082	94	U
39375642008	7575011503	A	7575011308	39375641910	18082	97	U
39375642011	7575011509	A	7575011308	39375641910	18082	100	U
39375642014	7575011515	A	7575011308	39375641910	18082	103	U
39375642017	7575011521	A	7575011308	39375641910	18082	106	U
39375642020	7575011527	A	7575011308	39375641910	18082	109	U
39375642023	7575011533	A	7575011308	39375641910	18082	112	U
39375642026	7575011539	A	7575011308	39375641910	18082	115	U
39375642029	7575011545	A	7575011308	39375641910	18082	118	U
39375642032	7575011551	A	7575011308	39375641910	18082	121	U
39375642035	7575011557	A	7575011308	39375641910	18082	124	U
39375642038	7575011563	A	7575011308	39375641910	18082	127	U
39375642041	7575011569	A	7575011308	39375641910	18082	130	U
39375642044	7575011575	A	7575011308	39375641910	18082	133	U
39375642047	7575011581	A	7575011308	39375641910	18082	136	U
39375642050	7575011587	A	7575011308	39375641910	18082	139	U
39375642053	7575011593	A	7575011308	39375641910	18082	142	U
39375642056	7575011599	A	7575011308	39375641910	18082	145	U
39375642059	7575011605	A	7575011308	39375641910	18082	148	U
39375642062	7575011611	A	7575011308	39375641910	18082	151	U
39375642065	7575011617	A	7575011308	39375641910	18082	154	U
39375642068	7575011623	A	7575011308	39375641910	18082	157	U
39375642071	7575011629	A	7575011308	39375641910	18082	160	U
39375642074	7575011635	A	7575011308	39375641910	18082	163	U
39375642077	7575011641	A	7575011308	39375641910	18082	166	U
39375642080	7575011647	A	7575011308	39375641910	18082	169	U
39375642083	7575011653	A	7575011308	39375641910	18082	172	U
39375642086	7575011659	A	7575011308	39375641910	18082	175	U
39375642089	7575011665	A	7575011308	39375641910	18082	178	U
39375642092	7575011671	A	7575011308	39375641910	18082	181	U
39375642095	7575011677	A	7575011308	39375641910	18082	184	U
39375642098	7575011683	A	7575011308	39375641910	18082	187	U
39375642101	7575011689	A	7575011308	39375641910	18082	190	U
39375642104	7575011695	A	7575011308	39375641910	18082	193	U
39375642107	7575011701	A	7575011308	39375641910	18082	196	U
39375642110	7575011707	A	7575011308	39375641910	18082	199	U
39375642113	7575011713	A	7575011308	39375641910	18082	202	U
39375642116	7575011719	A	7575011308	39375641910	18082	205	U
39375642119	7575011725	A	7575011308	39375641910	18082	208	U
39375642122	7575011731	A	7575011308	39375641910	18082	211	U
39375642125	7575011737	A	7575011308	39375641910	18082	214	U
39375642128	7575011743	A	7575011308	39375641910	18082	217	U
39375642131	7575011749	A	7575011308	39375641910	18082	220	U
39375642134	7575011755	A	7575011308	39375641910	18082	223	U
39375642137	7575011761	A	7575011308	39375641910	18082	226	U
39375642140	7575011767	A	7575011308	39375641910	18082	229	U
39375642143	7575011773	A	7575011308	39375641910	18082	232	U
39375642146	7575011779	A	7575011308	39375641910	18082	235	U
39375642149	7575011785	A	7575011308	39375641910	18082	238	U
39375642152	7575011791	A	7575011308	39375641910	18082	241	U
39375642155	7575011797	A	7575011308	39375641910	18082	244	U
39375642158	7575011803	A	7575011308	39375641910	18082	247	U
39375642161	7575011809	A	7575011308	39375641910	18082	250	U
39375642164	7575011815	A	7575011308	39375641910	18082	253	U
39375642167	7575011821	A	7575011308	39375641910	18082	256	U
39375642170	7575011827	A	7575011308	39375641910	18082	259	U
39375642173	7575011833	A	7575011308	39375641910	18082	262	U
39375642176	7575011839	A	7575011308	39375641910	18082	265	U
39375642179	7575011845	A	7575011308	39375641910	18082	268	U
39375642182	7575011851	A	7575011308	39375641910	18082	271	U
39375642185	7575011857	A	7575011308	39375641910	18082	274	U
39375642188	7575011863	A	7575011308	39375641910	18082	277	U
39375642191	7575011869	A	7575011308	39375641910	18082	280	U
39375642194	7575011875	A	7575011308	39375641910	18082	283	U
39375642197	7575011881	A	7575011308	39375641910	18082	286	U
39375642200	7575011887	A	7575011308	39375641910	18082	289	U
39375642203	7575011893	A	7575011308	39375641910	18082	292	U
39375642206	7575011899	A	7575011308	39375641910	18082	295	U
39375642209	7575011905	A	7575011308	39375641910	18082	298	U
39375642212	7575011911	A	7575011308	39375641910	18082	301	U
39375642215	7575011917	A	7575011308	39375641910	18082	304	U
39375642218	7575011923	A	7575011308	39375641910	18082	307	U
39375642221	7575011929	A	7575011308	39375641910	18082	310	U
39375642224	7575011935	A	7575011308	39375641910	18082	313	U
39375642227	7575011941	A	7575011308	39375641910	18082	316	U
