i	value	birth	sign	arc	q	r
0	39375735083	11684552030	S	40	3	4322078993
1	39375735080	11684552036	S	40	3	4322078972
2	39375735077	11684552042	S	40	3	4322078951
3	39375735074	11684552048	S	40	3	4322078930
4	39375735071	11684552054	S	40	3	4322078909
5	39375735068	11684552060	S	40	3	4322078888
6	39375735065	11684552066	S	40	3	4322078867
7	39375735062	11684552072	S	40	3	4322078846
8	39375735059	11684552078	S	40	3	4322078825
9	39375735056	11684552084	S	40	3	4322078804
10	39375735053	11684552090	S	40	3	4322078783
11	39375735050	11684552096	S	40	3	4322078762
12	39375735047	11684552102	S	40	3	4322078741
13	39375735044	11684552108	S	40	3	4322078720
14	39375735041	11684552114	S	40	3	4322078699
15	39375735038	11684552120	S	40	3	4322078678
16	39375735035	11684552126	S	40	3	4322078657
17	39375735032	11684552132	S	40	3	4322078636
18	39375735029	11684552138	S	40	3	4322078615
19	39375735026	11684552144	S	40	3	4322078594
20	39375735023	11684552150	S	40	3	4322078573
21	39375735020	11684552156	S	40	3	4322078552
22	39375735017	11684552162	S	40	3	4322078531
23	39375735014	11684552168	S	40	3	4322078510
24	39375735011	11684552174	S	40	3	4322078489
25	39375735008	11684552180	S	40	3	4322078468
26	39375735005	11684552186	S	40	3	4322078447
27	39375735002	11684552192	S	40	3	4322078426
28	39375734999	11684552198	S	40	3	4322078405
29	39375734996	11684552204	S	40	3	4322078384
30	39375734993	11684552210	S	40	3	4322078363
31	39375734990	11684552216	S	40	3	4322078342
32	39375734987	11684552222	S	40	3	4322078321
33	39375734984	11684552228	S	40	3	4322078300
34	39375734981	11684552234	S	40	3	4322078279
35	39375734978	11684552240	S	40	3	4322078258
36	39375734975	11684552246	S	40	3	4322078237
37	39375734972	11684552252	S	40	3	4322078216
38	39375734969	11684552258	S	40	3	4322078195
39	39375734966	11684552264	S	40	3	4322078174
40	39375734963	11684552270	S	40	3	4322078153
41	39375734960	11684552276	S	40	3	4322078132
42	39375734957	11684552282	S	40	3	4322078111
43	39375734954	11684552288	S	40	3	4322078090
44	39375734951	11684552294	S	40	3	4322078069
45	39375734948	11684552300	S	40	3	4322078048
46	39375734945	11684552306	S	40	3	4322078027
47	39375734942	11684552312	S	40	3	4322078006
48	39375734939	11684552318	S	40	3	4322077985
49	39375734936	11684552324	S	40	3	4322077964
50	39375734933	11684552330	S	40	3	4322077943
51	39375734930	11684552336	S	40	3	4322077922
52	39375734927	11684552342	S	40	3	4322077901
53	39375734924	11684552348	S	40	3	4322077880
54	39375734921	11684552354	S	40	3	4322077859
55	39375734918	11684552360	S	40	3	4322077838
56	39375734915	11684552366	S	40	3	4322077817
57	39375734912	11684552372	S	40	3	4322077796
58	39375734909	11684552378	S	40	3	4322077775
59	39375734906	11684552384	S	40	3	4322077754
60	39375734903	11684552390	S	40	3	4322077733
61	39375734900	11684552396	S	40	3	4322077712
62	39375734897	11684552402	S	40	3	4322077691
63	39375734894	11684552408	S	40	3	4322077670
64	39375734891	11684552414	S	40	3	4322077649
65	39375734888	11684552420	S	40	3	4322077628
