# ordinal startClock endClock startValue landingIndex landingValue landingIsLastLate stepsAfterLanding lateTotal level1Clocks combEnds blockedEnds drop3Ends undefEnds negEnds combEndsC3 blockedEndsC3 firstDrop3(c=v:drop) firstBlocked(c=v:drop) firstBlockedC3(c=v:drop) landingCombEnd(drop:blocked) landing==firstBlocked landing==firstDrop3 landing==firstBlockedC3 maxDrop decreases decSum decMax decHeightMin decHeightMax
1 1 1 1 1 1 N 0 0 1 0 0 0 0 0 0 0 none none none notCombEnd N N N -1 0 0 0 0 0
2 2 3 3 2 3 N 1 0 1 0 0 0 0 0 0 0 none none none notCombEnd N N N -1 0 0 0 0 0
3 4 6 2 4 2 Y 2 1 1 1 0 0 1 0 0 0 none none none undef:fresh N N N -1 0 0 0 0 0
4 7 11 20 10 11 N 1 0 2 0 0 0 0 0 0 0 none none none notCombEnd N N N -1 0 0 0 0 0
5 12 21 10 16 8 Y 5 3 3 1 0 0 0 0 0 0 none none none 0:fresh N N N 0 0 0 0 0 0
6 22 39 41 31 14 Y 8 5 7 1 0 0 0 0 0 0 none none none 0:fresh N N N 0 1 1 1 1 1
7 40 76 38 64 26 Y 12 13 13 1 0 0 0 0 0 0 none none none 0:fresh N N N 0 0 0 0 0 0
8 77 134 75 131 4 Y 3 15 21 3 1 1 0 0 0 0 111=40:3 111=40:3 none 0:fresh N N N 3 2 9 6 18 41
9 135 248 268 222 47 Y 26 32 44 2 0 0 0 0 0 0 none none none 0:fresh N N N 0 3 12 5 19 82
10 249 453 247 403 92 Y 50 54 79 3 0 0 0 0 0 0 none none none 0:fresh N N N 0 3 19 8 54 181
11 454 844 1361 770 111 Y 74 109 152 4 0 0 0 0 0 0 none none none 0:fresh N N N 0 3 34 24 116 361
12 845 1520 2533 1409 181 Y 111 182 248 4 1 1 0 0 0 0 1345=255:28 1345=255:28 none 0:fresh N N N 28 5 87 33 138 616
13 1521 2752 3041 2652 150 Y 100 322 471 8 1 1 0 0 0 0 2418=475:8 2418=475:8 none 0:fresh N N N 8 9 163 47 172 1181
14 2753 5045 2751 4825 371 Y 220 665 857 8 2 2 0 0 0 0 4135=1314:95 4135=1314:95 none 0:fresh N N N 95 9 316 122 358 2496
15 5046 9317 15135 9078 361 Y 239 1203 1642 12 1 1 0 0 0 0 8216=1592:4 8216=1592:4 none 0:fresh N N N 4 13 511 100 348 4724
16 9318 17223 18635 16773 781 Y 450 2318 3002 22 2 2 0 0 0 0 13507=4926:156 13507=4926:156 none 51:blocked N N N 156 23 1082 174 675 8800
17 17224 31221 51668 30768 828 Y 453 3905 5314 32 9 9 0 0 0 0 23972=10320:189 23972=10320:189 none 141:blocked N N N 335 33 2259 270 561 16432
18 31222 57071 62443 56827 366 Y 244 7470 9771 39 12 13 0 0 0 0 33931=28312:91 33931=28312:91 none 0:fresh N N N 302 39 4188 403 2323 29183
19 57072 99741 57070 99734 19 Y 7 11308 15660 51 16 18 0 0 1 1 75684=37948:35 75684=37948:35 99734=19:741 741:blocked N N Y 1153 47 9946 1092 47 54700
20 99742 181693 398963 181653 61 Y 40 22832 31414 71 17 16 0 0 3 0 109517=89747:58 109517=89747:58 none 0:fresh N N N 480 77 12777 1062 4166 97309
21 181694 328255 181693 328002 879 Y 253 41894 54296 93 25 24 0 0 0 0 196464=165764:277 196464=165764:277 none 963:blocked N N N 996 107 26168 2004 2398 181381
22 328256 589932 1313022 588583 4802 Y 1349 75128 97758 130 29 29 0 0 0 0 355141=297983:1596 355141=297983:1596 none 364:blocked N N N 3387 130 50611 4381 4926 325075
23 589933 1034838 2359729 1032996 3378 Y 1842 119469 163259 158 68 65 0 0 0 0 633862=544865:5066 633862=544865:5066 none 58:blocked N N N 5066 143 102011 5315 1130 589014
24 1034839 1788537 1034838 1787013 5329 Y 1524 203276 267492 185 84 91 0 0 0 0 1099287=964428:4436 1099287=964428:4436 none 2538:blocked N N N 12160 182 199003 9258 15329 1027066
25 1788538 3225918 5365613 3220128 9462 Y 5790 403064 543835 269 88 80 0 0 0 0 1833076=1743236:4516 1833076=1743236:4516 none 3569:blocked N N N 5568 272 263095 17423 8096 1743533
26 3225919 5784585 3225918 5771203 32102 Y 13382 718529 958959 444 97 100 0 0 0 0 3255003=3194846:1995 3255003=3194846:1995 none 0:fresh N N N 29306 421 498044 23712 15656 3195559
27 5784586 10212210 17353757 10201340 18954 Y 10870 1270213 1602791 410 230 250 0 0 0 0 6135064=5427582:3459 6135064=5427582:3459 none 40704:blocked N N N 56142 479 1072066 59820 14312 5778852
28 10212211 18399784 10212210 18394609 18107 Y 5175 2318984 3085167 653 196 210 0 0 1 1 10770003=9646848:25772 10801651=9600342:10276 18394609=18107:21335 21335:blocked N N Y 27687 640 1551739 54633 43839 9779907
29 18399785 32148794 73599139 32144188 16114 Y 4606 3842572 4931132 696 328 365 0 0 1 1 18759248=18043264:8896 18759248=18043264:8896 32144188=16114:155315 155315:blocked N N Y 164447 778 3510067 106289 48048 18245592
30 32148795 58056875 96446382 58055311 4202 Y 1564 7316473 9858907 1420 275 301 0 0 5 2 32511351=31786118:15141 32511351=31786118:15141 58047427=26232:44575 50837:blocked N N N 95170 1264 4821744 126816 946 32138990
31 58056876 101769229 58056874 101762018 25231 Y 7211 11965236 15978226 1411 499 556 0 0 5 2 59453334=56641939:60409 59453334=56641939:60409 101743538=58171:289640 285620:blocked N N N 299377 1379 10528481 181958 49028 58031326
32 101769230 173395919 407076917 173367175 60240 Y 28744 19105500 25167545 1412 705 833 0 0 9 9 103663831=99876752:87622 103663831=99876752:87622 173312631=169634:513942 514248:blocked N N N 517338 1410 21882548 278844 52035 100924924
33 173395920 302890748 520187758 302844912 92404 Y 45836 35599428 47168382 2321 901 1044 0 0 14 14 174022458=172772169:10634 173397430=173394149:0 302738034=297415:899179 890434:blocked N N N 902084 2272 32770265 504410 36023 173390620
34 302890749 511561220 908672243 511518279 92188 Y 42941 55979450 72238262 2229 1458 1659 0 0 20 16 306112817=299583711:26603 306112817=299583711:26603 511307121=498703:2263317 2247516:blocked N N N 2268262 2412 69738719 721489 48395 302830591
35 511561221 904036924 2046244881 904032692 14804 Y 4232 111017793 143461654 3413 1551 1706 0 0 18 18 512613664=510503544:5040 512613664=510503544:5040 903615930=867127:2239310 2258109:blocked N N N 2263980 3512 92092887 723890 34986 511366235
36 904036925 1610187038 2712110771 1610186343 2426 Y 695 202844334 259599033 5233 1915 2164 0 0 33 31 906338885=901751323:4078 906338885=901751323:4078 1609443239=1574792:8200661 8286819:blocked N N N 8290847 5352 157017585 1323188 16119 904006304
37 1610187039 2789150423 6440748154 2789149734 2405 Y 689 327754080 421893987 5636 2650 3020 0 0 44 31 1615228266=1605153127:4707 1615228266=1605153127:4707 2787920370=2552293:10587852 10679012:blocked N N N 10691123 6125 329654043 2786318 35721 1607160740
38 2789150424 4910758397 11156601694 4910724199 89386 Y 34198 602335220 773308948 7742 3473 3842 0 0 47 27 2796887475=2781392128:315375 2796887475=2781392128:315375 4908711921=4861543:20943143 21690744:blocked N N N 21704211 8045 523892420 4844816 49457 2788460934
39 4910758398 8416580354 14732275193 8416516444 110522 Y 63910 958574394 1238489809 8790 4752 5400 0 0 66 50 4914559232=4906962436:42242 4914559232=4906962436:42242 8412512202=8374765:37235892 37491651:blocked N N N 37500573 9130 1054743597 5437352 84866 4910224430
