protocol=H-20260906-06 prefix_horizon=128 prefix_size=116 prefix_max=495
source_revision=8a4314d7f65c728d5c6fe6584e1469de4e08332d
sha256 prefix_survival_stress.py 817d2ca6a45fe46a74f38279bb878ea4ca826ef4aba38261b844a51480889c91
sha256 seeded_survival_falsifier.py 1c841ec9c1bded4ac06f9ef0feb83688ff5a391c3e1f909e70c3a6c0b6a13773
v=10 status=PREFIX_INCOMPATIBLE nodes=0
v=11 status=PREFIX_INCOMPATIBLE nodes=0
v=12 status=PREFIX_INCOMPATIBLE nodes=0
v=13 status=PREFIX_INCOMPATIBLE nodes=0
v=14 status=PREFIX_INCOMPATIBLE nodes=0
v=15 status=PREFIX_INCOMPATIBLE nodes=0
v=16 status=PREFIX_INCOMPATIBLE nodes=0
v=17 status=PREFIX_INCOMPATIBLE nodes=0
v=18 status=PREFIX_INCOMPATIBLE nodes=0
v=19 status=EXHAUSTED nodes=4
v=20 status=PREFIX_INCOMPATIBLE nodes=0
v=21 status=PREFIX_INCOMPATIBLE nodes=0
v=22 status=PREFIX_INCOMPATIBLE nodes=0
v=23 status=PREFIX_INCOMPATIBLE nodes=0
v=24 status=PREFIX_INCOMPATIBLE nodes=0
v=25 status=PREFIX_INCOMPATIBLE nodes=0
v=26 status=PREFIX_INCOMPATIBLE nodes=0
v=27 status=PREFIX_INCOMPATIBLE nodes=0
v=28 status=PREFIX_INCOMPATIBLE nodes=0
v=29 status=PREFIX_INCOMPATIBLE nodes=0
v=30 status=PREFIX_INCOMPATIBLE nodes=0
v=31 status=PREFIX_INCOMPATIBLE nodes=0
v=32 status=PREFIX_INCOMPATIBLE nodes=0
v=33 status=PREFIX_INCOMPATIBLE nodes=0
v=34 status=PREFIX_INCOMPATIBLE nodes=0
v=35 status=PREFIX_INCOMPATIBLE nodes=0
v=36 status=PREFIX_INCOMPATIBLE nodes=0
v=37 status=PREFIX_INCOMPATIBLE nodes=0
v=38 status=PREFIX_INCOMPATIBLE nodes=0
v=39 status=PREFIX_INCOMPATIBLE nodes=0
v=40 status=PREFIX_INCOMPATIBLE nodes=0
v=41 status=PREFIX_INCOMPATIBLE nodes=0
v=42 status=PREFIX_INCOMPATIBLE nodes=0
v=43 status=PREFIX_INCOMPATIBLE nodes=0
v=44 status=PREFIX_INCOMPATIBLE nodes=0
v=45 status=PREFIX_INCOMPATIBLE nodes=0
v=46 status=PREFIX_INCOMPATIBLE nodes=0
v=47 status=EXHAUSTED nodes=77
v=48 status=EXHAUSTED nodes=81
v=49 status=EXHAUSTED nodes=90
v=50 status=EXHAUSTED nodes=107
v=51 status=EXHAUSTED nodes=110
v=52 status=EXHAUSTED nodes=131
v=53 status=EXHAUSTED nodes=135
v=54 status=EXHAUSTED nodes=151
v=55 status=EXHAUSTED nodes=155
v=56 status=EXHAUSTED nodes=173
v=57 status=EXHAUSTED nodes=193
v=58 status=EXHAUSTED nodes=229
v=59 status=EXHAUSTED nodes=256
v=60 status=EXHAUSTED nodes=260
v=61 status=EXHAUSTED nodes=299
v=62 status=PREFIX_INCOMPATIBLE nodes=0
v=63 status=PREFIX_INCOMPATIBLE nodes=0
v=64 status=PREFIX_INCOMPATIBLE nodes=0
v=65 status=PREFIX_INCOMPATIBLE nodes=0
v=66 status=PREFIX_INCOMPATIBLE nodes=0
v=67 status=PREFIX_INCOMPATIBLE nodes=0
v=68 status=PREFIX_INCOMPATIBLE nodes=0
v=69 status=PREFIX_INCOMPATIBLE nodes=0
v=70 status=PREFIX_INCOMPATIBLE nodes=0
v=71 status=PREFIX_INCOMPATIBLE nodes=0
v=72 status=PREFIX_INCOMPATIBLE nodes=0
v=73 status=PREFIX_INCOMPATIBLE nodes=0
v=74 status=PREFIX_INCOMPATIBLE nodes=0
v=75 status=PREFIX_INCOMPATIBLE nodes=0
v=76 status=COUNTEREXAMPLE nodes=417
WITNESS parameters={'v': 76, 'J': 33, 'hPrev': 176, 'n': 2816, 'b': 2814, 'current': 8623, 'c': 2883} landing=[2901, 5] seed_size=143
