protocol=H-20260906-05 horizon=2000000 max_initial=20000 seconds=900
progress initial=0 eligible=59 arcs=24 elapsed=0.0123562
progress initial=100 eligible=42 arcs=26 elapsed=0.578925
progress initial=200 eligible=63 arcs=26 elapsed=1.123
progress initial=300 eligible=64 arcs=30 elapsed=1.67211
progress initial=400 eligible=98 arcs=30 elapsed=2.22269
progress initial=500 eligible=90 arcs=31 elapsed=2.77272
progress initial=600 eligible=121 arcs=33 elapsed=3.32185
progress initial=700 eligible=108 arcs=33 elapsed=3.87523
progress initial=800 eligible=134 arcs=36 elapsed=4.42357
progress initial=900 eligible=102 arcs=35 elapsed=4.97311
progress initial=1000 eligible=126 arcs=37 elapsed=5.52555
progress initial=1100 eligible=141 arcs=38 elapsed=6.07482
progress initial=1200 eligible=90 arcs=37 elapsed=6.62653
progress initial=1300 eligible=141 arcs=42 elapsed=7.19073
progress initial=1400 eligible=154 arcs=37 elapsed=7.753
progress initial=1500 eligible=97 arcs=38 elapsed=8.31032
progress initial=1600 eligible=176 arcs=41 elapsed=8.86349
progress initial=1700 eligible=153 arcs=43 elapsed=9.416
progress initial=1800 eligible=155 arcs=40 elapsed=9.968
progress initial=1900 eligible=159 arcs=45 elapsed=10.5194
progress initial=2000 eligible=151 arcs=43 elapsed=11.0742
progress initial=2100 eligible=126 arcs=43 elapsed=11.6255
progress initial=2200 eligible=101 arcs=47 elapsed=12.1759
progress initial=2300 eligible=119 arcs=44 elapsed=12.7295
progress initial=2400 eligible=156 arcs=48 elapsed=13.2824
progress initial=2500 eligible=140 arcs=45 elapsed=13.8369
progress initial=2600 eligible=67 arcs=46 elapsed=14.3888
progress initial=2700 eligible=116 arcs=48 elapsed=14.9407
progress initial=2800 eligible=129 arcs=51 elapsed=15.4945
progress initial=2900 eligible=93 arcs=50 elapsed=16.047
progress initial=3000 eligible=142 arcs=50 elapsed=16.5986
progress initial=3100 eligible=168 arcs=53 elapsed=17.1455
progress initial=3200 eligible=154 arcs=52 elapsed=17.6981
progress initial=3300 eligible=88 arcs=48 elapsed=18.2514
progress initial=3400 eligible=144 arcs=51 elapsed=18.8044
progress initial=3500 eligible=159 arcs=52 elapsed=19.3554
progress initial=3600 eligible=146 arcs=52 elapsed=19.9075
progress initial=3700 eligible=126 arcs=52 elapsed=20.462
progress initial=3800 eligible=159 arcs=54 elapsed=21.0172
progress initial=3900 eligible=136 arcs=55 elapsed=21.5714
progress initial=4000 eligible=124 arcs=53 elapsed=22.123
progress initial=4100 eligible=133 arcs=55 elapsed=22.6777
progress initial=4200 eligible=175 arcs=54 elapsed=23.2288
progress initial=4300 eligible=139 arcs=55 elapsed=23.7833
progress initial=4400 eligible=133 arcs=57 elapsed=24.3373
progress initial=4500 eligible=108 arcs=54 elapsed=24.8907
progress initial=4600 eligible=154 arcs=58 elapsed=25.4442
progress initial=4700 eligible=148 arcs=58 elapsed=26.0003
progress initial=4800 eligible=72 arcs=57 elapsed=26.5554
progress initial=4900 eligible=128 arcs=59 elapsed=27.1092
progress initial=5000 eligible=141 arcs=59 elapsed=27.6637
progress initial=5100 eligible=148 arcs=60 elapsed=28.2174
progress initial=5200 eligible=130 arcs=60 elapsed=28.7726
progress initial=5300 eligible=156 arcs=61 elapsed=29.325
progress initial=5400 eligible=129 arcs=58 elapsed=29.8784
progress initial=5500 eligible=144 arcs=62 elapsed=30.4323
progress initial=5600 eligible=121 arcs=63 elapsed=30.9842
progress initial=5700 eligible=126 arcs=59 elapsed=31.5498
progress initial=5800 eligible=159 arcs=61 elapsed=32.1008
progress initial=5900 eligible=113 arcs=60 elapsed=32.6562
progress initial=6000 eligible=161 arcs=62 elapsed=33.2087
progress initial=6100 eligible=76 arcs=63 elapsed=33.7646
progress initial=6200 eligible=116 arcs=62 elapsed=34.3164
progress initial=6300 eligible=183 arcs=64 elapsed=34.871
progress initial=6400 eligible=171 arcs=65 elapsed=35.423
progress initial=6500 eligible=124 arcs=65 elapsed=35.9803
progress initial=6600 eligible=177 arcs=67 elapsed=36.535
progress initial=6700 eligible=125 arcs=62 elapsed=37.0872
progress initial=6800 eligible=168 arcs=68 elapsed=37.6401
progress initial=6900 eligible=138 arcs=65 elapsed=38.1937
progress initial=7000 eligible=96 arcs=65 elapsed=38.7465
progress initial=7100 eligible=152 arcs=64 elapsed=39.3003
progress initial=7200 eligible=150 arcs=68 elapsed=39.8572
progress initial=7300 eligible=150 arcs=71 elapsed=40.4117
progress initial=7400 eligible=95 arcs=68 elapsed=40.968
progress initial=7500 eligible=130 arcs=64 elapsed=41.5228
progress initial=7600 eligible=137 arcs=67 elapsed=42.0749
progress initial=7700 eligible=113 arcs=69 elapsed=42.6306
progress initial=7800 eligible=140 arcs=68 elapsed=43.1872
progress initial=7900 eligible=119 arcs=69 elapsed=43.7435
progress initial=8000 eligible=150 arcs=71 elapsed=44.298
progress initial=8100 eligible=125 arcs=68 elapsed=44.852
progress initial=8200 eligible=153 arcs=69 elapsed=45.4069
progress initial=8300 eligible=117 arcs=69 elapsed=45.9659
progress initial=8400 eligible=164 arcs=72 elapsed=46.5214
progress initial=8500 eligible=133 arcs=77 elapsed=47.0756
progress initial=8600 eligible=144 arcs=70 elapsed=47.631
progress initial=8700 eligible=143 arcs=72 elapsed=48.1865
progress initial=8800 eligible=109 arcs=72 elapsed=48.7444
progress initial=8900 eligible=132 arcs=73 elapsed=49.2985
progress initial=9000 eligible=99 arcs=73 elapsed=49.8534
progress initial=9100 eligible=136 arcs=74 elapsed=50.4065
progress initial=9200 eligible=116 arcs=73 elapsed=50.9649
progress initial=9300 eligible=87 arcs=77 elapsed=51.5195
progress initial=9400 eligible=121 arcs=76 elapsed=52.0775
progress initial=9500 eligible=114 arcs=69 elapsed=52.6327
progress initial=9600 eligible=133 arcs=74 elapsed=53.217
progress initial=9700 eligible=117 arcs=76 elapsed=53.8628
progress initial=9800 eligible=179 arcs=75 elapsed=54.4277
progress initial=9900 eligible=169 arcs=78 elapsed=54.9835
progress initial=10000 eligible=143 arcs=76 elapsed=55.5389
progress initial=10100 eligible=117 arcs=76 elapsed=56.0959
progress initial=10200 eligible=108 arcs=74 elapsed=56.6518
progress initial=10300 eligible=140 arcs=76 elapsed=57.2064
progress initial=10400 eligible=136 arcs=75 elapsed=57.7614
progress initial=10500 eligible=109 arcs=74 elapsed=58.3172
progress initial=10600 eligible=143 arcs=81 elapsed=58.8737
progress initial=10700 eligible=131 arcs=79 elapsed=59.4284
progress initial=10800 eligible=137 arcs=78 elapsed=59.9838
progress initial=10900 eligible=142 arcs=76 elapsed=60.5402
progress initial=11000 eligible=134 arcs=79 elapsed=61.0951
progress initial=11100 eligible=151 arcs=80 elapsed=61.6518
progress initial=11200 eligible=160 arcs=78 elapsed=62.206
progress initial=11300 eligible=152 arcs=80 elapsed=62.7625
progress initial=11400 eligible=144 arcs=78 elapsed=63.3185
progress initial=11500 eligible=174 arcs=79 elapsed=63.8752
progress initial=11600 eligible=119 arcs=81 elapsed=64.4295
progress initial=11700 eligible=114 arcs=81 elapsed=64.9852
progress initial=11800 eligible=184 arcs=79 elapsed=65.5391
