cutoff,clockFloor,eligibleClocksUpTo1e6,uncoveredSurvivors,pctEliminated
1000,111,213719,213691,0.013
4825,192,213719,213672,0.022
10000,192,213719,213564,0.073
56515,776,213719,213246,0.221
100000,776,213719,212780,0.439
328002,4581,213719,212498,0.571
582493,4604,213719,211990,0.809
1000000,4604,213719,210800,1.366
1779261,13507,213719,208160,2.601
10000000,13507,213719,207626,2.851
10201340,15845,213719,205366,3.908
18394609,24260,213719,201331,5.796
100000000,24260,213719,186954,12.523
1000000000,24260,213719,168577,21.122
2789105306,53905,213719,141617,33.737
10000000000,53905,213719,141617,33.737
50000000000,53905,213719,139398,34.775
